Make,Model,Body Type,Year,Engine Type,Engine Size,Transmission,Drive Type,Mileage,Condition,Gas Equipment,Steering Wheel,Cleared Customs,Color,Wheel Size,Headlights,Interior Color,Interior Material,Sunroof,Comfort,y
Volvo,XC90,SUV / Crossover,2018,Gasoline,2.0 L,Automatic,Front Wheel Drive,"106,000 km",Car is not damaged,,Left,Yes,Black,R20,LED Headlights,Brown,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$44,500"
Mercedes-Benz,GL-Class,SUV / Crossover,2009,Gasoline,4.7 L,Automatic,All Wheel Drive,"200,000 km",Car is not damaged,,Left,Yes,Black,R22,Хenon Headlights,Beige,Leather,Regular Sunroof,,"$17,900"
Mercedes-Benz,S-Class,Sedan,2000,Gasoline,5.0 L,Automatic,Rear Wheel Drive,"223,000 km",Car is not damaged,Installed,Left,Yes,Silver,R19,Хenon Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$9,500"
Ford,Mustang,Convertible,2019,Gasoline,2.3 L,Automatic,Rear Wheel Drive,"42,000 miles",Car is damaged,,Left,Yes,White,R20,Хenon Headlights,Black,Other,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$15,500"
BMW,X5,SUV / Crossover,2007,Gasoline,4.8 L,Automatic,All Wheel Drive,"281,000 km",Car is not damaged,Installed,Left,Yes,White,R20,Хenon Headlights,Brown,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$14,300"
Mazda,CX-5,SUV / Crossover,2022,Gasoline,2.5 L,Automatic,All Wheel Drive,"11,700 km",Car is not damaged,,Left,Yes,Gray,R17,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, ventilated seats, cruise control, tinted windows","$28,000"
BMW,5 Series,Sedan,2016,Gasoline,2.0 L,Automatic,All Wheel Drive,"113,000 km",Car is not damaged,,Left,Yes,Blue,R18,Хenon Headlights,Brown,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, cruise control, tinted windows","$22,500"
Toyota,Corolla,Sedan,2009,Gasoline,1.8 L,Automatic,Front Wheel Drive,"156,000 km",Car is not damaged,Installed,Left,Yes,White,R15,Хenon Headlights,Gray,Textile,No,"Air conditioner, cruise control, tinted windows","$9,500"
Toyota,Camry,Sedan,2019,Gasoline,2.5 L,Automatic,Front Wheel Drive,"162,000 km",Car is not damaged,,Left,Yes,Black,R18,Хenon Headlights,Black,Leather,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$26,000"
Mercedes-Benz,E-Class,Sedan,2003,Gasoline,2.6 L,Automatic,Rear Wheel Drive,"230,000 km",Car is not damaged,Installed,Left,No,Silver,R16,Хenon Headlights,Gray,Leather,No,"Air conditioner, cruise control, tinted windows","$5,500"
Jeep,Wrangler,SUV / Crossover,2022,Gasoline,2.0 L,Automatic,All Wheel Drive,7000 miles,Car is not damaged,,Left,Yes,White,R21,LED Headlights,Black,Other,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$58,300"
GAZ (ГАЗ),ГАЗель,Van,2004,Gasoline,2.1 L,Manual,Rear Wheel Drive,"123,456 km",Car is not damaged,Installed,Left,Yes,White,R16,Halogen Headlights,Gray,Textile,No,,"$3,200"
Toyota,Ipsum,Minivan,2002,Gasoline,2.0 L,Automatic,Front Wheel Drive,"290,000 km",Car is not damaged,Installed,Right,Yes,Silver,R17,LED Headlights,Beige,Textile,No,"Air conditioner, tinted windows","$4,700"
Citroen,DS,Sedan,1970,Gasoline,2.0 L,Manual,Front Wheel Drive,"67,000 km",Car is not damaged,,Left,Yes,Red,R16,Halogen Headlights,Red,Velour,No,Air conditioner,"$300,000"
Kia,Sportage,SUV / Crossover,2012,Gasoline,2.4 L,Automatic,Front Wheel Drive,"210,000 km",Car is not damaged,Installed,Left,Yes,Gray,R18,LED Headlights,Gray,Leather,Panoramic Sunroof,"Air conditioner, heated seats, ventilated seats, cruise control, tinted windows","$16,000"
Honda,Accord,Sedan,2019,Gasoline,1.5 L,Automatic,Front Wheel Drive,"53,000 miles",Car is not damaged,,Left,Yes,Black,R17,LED Headlights,Black,Textile,No,Air conditioner,"$20,800"
VAZ (Lada),2107,Sedan,2004,Gasoline,1.6 L,Manual,Rear Wheel Drive,"250,000 km",Car is not damaged,Installed,Left,Yes,Green,R13,Halogen Headlights,Gray,Textile,No,Tinted windows,"850,000 ֏"
Chevrolet,Captiva,SUV / Crossover,2010,Gasoline,3.2 L,Automatic,All Wheel Drive,"125,000 km",Car is not damaged,Installed,Left,Yes,Black,R18,Halogen Headlights,Black,Leather,Regular Sunroof,Heated seats,"$11,500"
Kia,Forte,Sedan,2022,Gasoline,1.6 L,Automatic,Front Wheel Drive,"23,000 km",Car is not damaged,,Left,Yes,Black,R18,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, ventilated seats, cruise control, tinted windows","$23,700"
Toyota,Camry,Sedan,2020,Gasoline,2.5 L,Automatic,Front Wheel Drive,"65,000 miles",Car is not damaged,,Left,Yes,Black,R18,Хenon Headlights,Black,Leather,Regular Sunroof,,"$23,000"
Audi,A6,Sedan,2013,Gasoline,2.8 L,Automatic,All Wheel Drive,"150,000 km",Car is not damaged,,Left,Yes,Black,R20,Хenon Headlights,Black,Leather,No,,"$19,000"
