Make,Model,Body Type,Year,Engine Type,Engine Size,Transmission,Drive Type,Mileage,Condition,Gas Equipment,Steering Wheel,Cleared Customs,Color,Wheel Size,Headlights,Interior Color,Interior Material,Sunroof,Comfort,y
Mercedes-Benz,C-Class,Sedan,2001,Gasoline,2.4 L,Automatic,Rear Wheel Drive,"200,000 km",Car is not damaged,Installed,Left,Yes,White,R16,Halogen Headlights,Beige,Leather,Regular Sunroof,Air conditioner,"$6,000"
Toyota,Vitz,Hatchback,2003,Gasoline,1.3 L,Automatic,Front Wheel Drive,"100,000 km",Car is damaged,,Left,Yes,Silver,R13,Хenon Headlights,Gray,Leather,No,,"800,000 ֏"
Kia,Optima,Sedan,2012,Gasoline,2.4 L,Automatic,Front Wheel Drive,"115,000 miles",Car is not damaged,,Left,Yes,White,R17,LED Headlights,Gray,Leather,Panoramic Sunroof,,"$12,600"
Mercedes-Benz,E-Class,Sedan,2018,Gasoline,2.0 L,Automatic,Rear Wheel Drive,"168,000 km",Car is not damaged,,Left,No,Black,R16,LED Headlights,Black,Leather,No,"Air conditioner, heated seats, cruise control, tinted windows","$34,500"
Ford,Transit,Van,2007,Diesel,2.4 L,Manual,Rear Wheel Drive,"195,000 km",Car is not damaged,,Left,Yes,White,R16,LED Headlights,Gray,Textile,No,,"$10,000"
Mercedes-Benz,E-Class,Sedan,2005,Gasoline,3.5 L,Automatic,Rear Wheel Drive,"340,000 km",Car is not damaged,Installed,Left,Yes,Black,R16,LED Headlights,Black,Leather,Regular Sunroof,"Heated seats, tinted windows","$8,500"
BMW,3 Series,Sedan,2017,Gasoline,2.0 L,Automatic,Rear Wheel Drive,"102,000 miles",Car is not damaged,,Left,Yes,Silver,R18,LED Headlights,Black,Leather,No,"Air conditioner, cruise control, tinted windows","$19,000"
Mercedes-Benz,C-Class,Sedan,2016,Gasoline,2.0 L,Automatic,Rear Wheel Drive,"80,000 km",Car is not damaged,,Left,Yes,White,R18,LED Headlights,Beige,Leather,Panoramic Sunroof,"Air conditioner, heated seats, cruise control","$25,500"
Mercedes-Benz,G-Class AMG,SUV / Crossover,2023,Gasoline,4.4 L,Automatic,All Wheel Drive,100 km,Car is not damaged,,Left,No,Black,R22,LED Headlights,Other,Leather,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows",
Mitsubishi,Grandis,Minivan,2003,Gasoline,2.4 L,Automatic,All Wheel Drive,"260,000 km",Car is not damaged,Installed,Right,Yes,White,R17,LED Headlights,Beige,Alcantara,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$6,100"
Lexus,GX,SUV / Crossover,2021,Gasoline,4.6 L,Automatic,All Wheel Drive,"21,000 km",Car is not damaged,,Left,Yes,White,R18,LED Headlights,Brown,Leather,Regular Sunroof,,"$64,300"
Lexus,GX,SUV / Crossover,2007,Gasoline,4.7 L,Automatic,All Wheel Drive,"118,000 miles",Car is not damaged,Installed,Left,Yes,Black,R20,Хenon Headlights,Black,Leather,No,"Air conditioner, heated seats, cruise control, tinted windows","$30,000"
GAZ (ГАЗ),Sobol,Minivan,2003,Gasoline,2.1 L,Manual,All Wheel Drive,"80,000 km",Car is not damaged,Installed,Left,Yes,White,R16,Хenon Headlights,Gray,Other,Regular Sunroof,,"2,000,000 ֏"
VAZ (Lada),2107,Sedan,2011,Gasoline,1.7 L,Manual,Rear Wheel Drive,"95,000 km",Car is not damaged,Installed,Left,Yes,Green,R14,LED Headlights,Gray,Leather,No,Tinted windows,"$4,200"
Mazda,CX-9,SUV / Crossover,2019,Gasoline,2.5 L,Automatic,All Wheel Drive,"28,000 miles",Car is not damaged,,Left,Yes,White,R18,LED Headlights,Black,Leather,No,"Air conditioner, heated seats, ventilated seats, cruise control, tinted windows","$25,900"
Porsche,Cayenne,SUV / Crossover,2004,Gasoline,4.5 L,Automatic,All Wheel Drive,"110,000 miles",Car is not damaged,,Left,Yes,Gray,R22,Хenon Headlights,Gray,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control","5,000,000 ֏"
Porsche,Cayenne,SUV / Crossover,2012,Gasoline,4.8 L,Automatic,All Wheel Drive,"169,000 km",Car is not damaged,,Left,Yes,Black,R21,Хenon Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$33,000"
Lexus,GX,SUV / Crossover,2007,Gasoline,4.7 L,Automatic,All Wheel Drive,"220,000 km",Installed,,Left,Yes,Blue,R17,Halogen Headlights,Gray,Leather,Regular Sunroof,,"$23,000"
Dodge,Journey,SUV / Crossover,2020,Gasoline,2.4 L,Automatic,Front Wheel Drive,"75,000 km",Car is not damaged,,Left,Yes,Gray,R16,Halogen Headlights,Black,Textile,No,"Air conditioner, cruise control","$14,000"
Kia,Forte,Sedan,2017,Gasoline,2.0 L,Automatic,Front Wheel Drive,"123,000 miles",Car is not damaged,,Left,Yes,Silver,R15,LED Headlights,Gray,Textile,No,,"$10,500"
Honda,FCX Clarity,Sedan,2018,Hybrid,1.5 L,Automatic,Front Wheel Drive,"111,999 km",Car is not damaged,,Left,Yes,Black,R17,LED Headlights,Black,Leather,No,"Air conditioner, cruise control","$23,000"
Lexus,GX,SUV / Crossover,2013,Gasoline,4.6 L,Automatic,All Wheel Drive,"20,000 miles",Car is not damaged,Installed,Left,Yes,Black,R20,Хenon Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$45,000"
Kia,Optima,Sedan,2017,Gasoline,2.4 L,Automatic,Front Wheel Drive,"50,500 km",Car is not damaged,,Left,Yes,White,R17,Хenon Headlights,Black,Textile,No,,"$16,200"
Opel,Combo,Van,2007,Gasoline,1.6 L,Manual,Front Wheel Drive,"235,000 km",Car is not damaged,,Left,Yes,White,R15,Halogen Headlights,Gray,Leatherette,No,,"$7,100"
BMW,X5,SUV / Crossover,2012,Gasoline,3.0 L,Automatic,All Wheel Drive,"130,000 miles",Car is not damaged,,Left,Yes,White,R19,Хenon Headlights,Brown,Leather,Panoramic Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$18,490"
Mitsubishi,Outlander,SUV / Crossover,2010,Gasoline,2.4 L,Automatic,All Wheel Drive,"72,000 miles",Car is not damaged,,Left,Yes,Red,R18,Halogen Headlights,Black,Other,No,,"$15,000"
Hyundai,Sonata,Sedan,2016,Gasoline,2.7 L,Automatic,Front Wheel Drive,"79,000 miles",Car is not damaged,,Left,Yes,Black,R16,LED Headlights,Gray,Leatherette,No,"Air conditioner, heated seats, ventilated seats, cruise control","$13,800"
BMW,X5,SUV / Crossover,2019,Gasoline,3.0 L,Automatic,All Wheel Drive,"22,000 km",Car is not damaged,,Left,No,White,R21,LED Headlights,Black,Leather,Panoramic Sunroof,,"$65,500"
Audi,A4,Sedan,2019,Gasoline,2.0 L,Automatic,Front Wheel Drive,"92,000 km",Car is not damaged,,Left,Yes,White,R18,Хenon Headlights,Brown,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control","$26,500"
Opel,Vectra,Sedan,1996,Gasoline,2.0 L,Manual,Front Wheel Drive,"250,000 km",Car is not damaged,Installed,Left,Yes,Gray,R15,Halogen Headlights,Other,Other,No,,"$3,000"
GAZ (ГАЗ),ГАЗель,Coupe,2003,Gasoline,2.5 L,Manual,Rear Wheel Drive,"137,000 km",Car is not damaged,Installed,Left,Yes,Gray,R18,LED Headlights,White,Textile,No,Tinted windows,"$6,000"
Mercedes-Benz,B-Class,Hatchback,2006,Gasoline,1.7 L,Automatic,Front Wheel Drive,"77,264 km",Car is not damaged,Installed,Left,Yes,Blue,R17,Halogen Headlights,Black,Leather,No,"Cruise control, tinted windows","$6,800"
Toyota,Camry,Sedan,2017,Gasoline,2.5 L,Automatic,Front Wheel Drive,"107,000 km",Car is not damaged,Installed,Left,Yes,Black,R17,LED Headlights,Black,Leather,No,"Air conditioner, heated seats, cruise control, tinted windows","$17,800"
Opel,Vectra,Sedan,1999,Gasoline,1.6 L,Manual,Front Wheel Drive,"80,000 km",Car is not damaged,Installed,Left,Yes,Brown,R15,Halogen Headlights,Gray,Textile,Regular Sunroof,Tinted windows,"180,000 ֏"
Mercedes-Benz,S-Class,Sedan,2008,Gasoline,5.5 L,Automatic,Rear Wheel Drive,"108,000 km",Car is not damaged,,Left,Yes,Silver,R19,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows",
Toyota,Camry,Sedan,2015,Gasoline,2.5 L,Automatic,Front Wheel Drive,"113,000 km",Car is not damaged,,Left,Yes,Black,R17,LED Headlights,Gray,Other,No,"Air conditioner, cruise control, tinted windows","$15,600"
Toyota,Corolla,Sedan,2010,Gasoline,1.8 L,Automatic,Front Wheel Drive,"74,000 miles",Car is not damaged,Installed,Left,Yes,Silver,R15,Halogen Headlights,Beige,Other,No,,"$10,300"
Jeep,Cherokee,SUV / Crossover,2019,Gasoline,2.4 L,Automatic,Front Wheel Drive,"73,000 miles",Car is damaged,,Left,No,Brown,R16,LED Headlights,Black,Leather,No,"Air conditioner, heated seats, cruise control, tinted windows","$16,990"
Opel,Astra,Sedan,2002,Gasoline,1.4 L,Manual,Front Wheel Drive,"232,000 km",Car is not damaged,Installed,Left,Yes,Blue,R15,Halogen Headlights,Gray,Other,Regular Sunroof,,"$4,400"
Toyota,Camry,Sedan,2013,Gasoline,2.5 L,Automatic,Front Wheel Drive,"120,000 km",Car is not damaged,,Left,Yes,White,R17,LED Headlights,Beige,Textile,No,"Air conditioner, cruise control, tinted windows","$14,700"
Land Rover,Range Rover Evoque,SUV / Crossover,2017,Gasoline,2.0 L,Automatic,All Wheel Drive,"90,000 km",Car is not damaged,,Left,Yes,Black,R19,Хenon Headlights,Beige,Leather,Panoramic Sunroof,"Air conditioner, cruise control, tinted windows","$27,000"
Mazda,6,Sedan,2018,Gasoline,2.5 L,Automatic,Front Wheel Drive,"28,000 miles",Car is not damaged,,Left,Yes,Blue,R19,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$20,900"
Kia,Optima,Sedan,2017,Gasoline,2.4 L,Automatic,Front Wheel Drive,110 miles,Car is not damaged,,Left,Yes,Gray,R16,Halogen Headlights,Black,Textile,No,"Air conditioner, cruise control","$14,000"
Chevrolet,Aveo,Sedan,2008,Gasoline,1.2 L,Manual,Front Wheel Drive,"232,000 km",Car is not damaged,Installed,Left,Yes,White,R13,Halogen Headlights,Black,Textile,No,Air conditioner,"$5,000"
Lexus,RX,SUV / Crossover,2007,Gasoline,3.5 L,Automatic,Front Wheel Drive,"300,000 km",Car is not damaged,,Left,Yes,Gray,R18,Halogen Headlights,Gray,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$12,500"
Mercedes-Benz,C-Class,Sedan,1996,Gasoline,1.8 L,Manual,Rear Wheel Drive,"260,000 km",Car is not damaged,Installed,Left,Yes,Silver,R15,LED Headlights,Beige,Leather,Regular Sunroof,,"$5,200"
Opel,Vectra,Sedan,1997,Gasoline,1.6 L,Manual,Front Wheel Drive,"230,000 km",Car is not damaged,Installed,Left,Yes,Green,R15,Хenon Headlights,Black,Textile,No,,"$2,950"
BMW,X1,SUV / Crossover,2019,Gasoline,2.0 L,Automatic,All Wheel Drive,"29,500 miles",Car is not damaged,,Left,Yes,White,R18,LED Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, cruise control","$30,700"
Ford,Focus,Hatchback,1999,Gasoline,1.4 L,Manual,Front Wheel Drive,"285,000 km",Car is not damaged,,Left,Yes,Blue,R15,Хenon Headlights,Other,Other,No,Air conditioner,"$3,800"
Volkswagen,Golf,Hatchback,1993,Gasoline,1.8 L,Manual,Front Wheel Drive,"56,000 km",Car is not damaged,Installed,Left,Yes,Silver,R14,Halogen Headlights,Gray,Textile,Regular Sunroof,,"860,000 ֏"
Volvo,XC90,SUV / Crossover,2015,Gasoline,2.0 L,Automatic,Front Wheel Drive,"200,000 km",Car is damaged,,Left,Yes,White,R21,Хenon Headlights,Brown,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$28,000"
GAZ (ГАЗ),3110 Volga,Sedan,2002,Gasoline,2.3 L,Manual,Rear Wheel Drive,"160,000 km",Car is not damaged,Installed,Left,Yes,Black,R16,Halogen Headlights,Gray,Velour,No,,"600,000 ֏"
Chevrolet,Cruze,Sedan,2016,Gasoline,1.4 L,Automatic,Front Wheel Drive,"78,000 km",Car is not damaged,,Left,Yes,Blue,R16,LED Headlights,Black,Textile,No,"Air conditioner, heated seats, cruise control","$10,500"
Mercedes-Benz,C-Class,Sedan,2003,Gasoline,2.4 L,Automatic,Rear Wheel Drive,"295,000 km",Car is not damaged,Installed,Left,Yes,Gray,R16,Halogen Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats","$6,300"
Ford,Focus,Sedan,2017,Gasoline,2.0 L,Automatic,Front Wheel Drive,"82,000 km",Car is not damaged,,Left,Yes,Blue,R16,Хenon Headlights,Gray,Textile,Regular Sunroof,,"$8,700"
Porsche,Cayenne,SUV / Crossover,2003,Gasoline,4.5 L,Automatic,All Wheel Drive,"140,000 km",Car is not damaged,Installed,Left,Yes,Black,R22,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, tinted windows","$11,400"
Opel,Astra,Hatchback,1999,Gasoline,1.6 L,Manual,Front Wheel Drive,"270,000 km",Car is not damaged,Installed,Left,Yes,Silver,R16,LED Headlights,Black,Textile,No,"Air conditioner, tinted windows","$5,200"
Cadillac,Escalade,SUV / Crossover,2018,Gasoline,6.2 L,Automatic,All Wheel Drive,"80,000 km",Car is not damaged,,Left,Yes,Black,R22,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$69,000"
Hyundai,Elantra,Sedan,2017,Gasoline,1.6 L,Automatic,Front Wheel Drive,"65,000 miles",Car is damaged,,Left,Yes,Blue,R18,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control","$13,500"
Toyota,Camry,Sedan,2020,Gasoline,2.5 L,Automatic,Front Wheel Drive,"33,000 miles",Car is not damaged,,Left,Yes,Black,R18,LED Headlights,Black,Leather,No,,"$27,000"
Mazda,CX-5,SUV / Crossover,2022,Gasoline,2.5 L,Automatic,All Wheel Drive,"16,700 km",Car is not damaged,,Left,Yes,White,R19,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$43,000"
Opel,Astra,Hatchback,1998,Gasoline,1.6 L,Manual,Front Wheel Drive,"304,000 km",Car is not damaged,Installed,Left,Yes,Red,R15,Хenon Headlights,Black,Textile,Regular Sunroof,,"$3,300"
Audi,A8,Sedan,1996,Gasoline,2.8 L,Manual,All Wheel Drive,"270,000 km",Car is damaged,Installed,Left,Yes,Blue,R17,Halogen Headlights,Beige,Leatherette,Regular Sunroof,"Heated seats, tinted windows","$4,200"
Kia,Soul,Hatchback,2020,Gasoline,2.0 L,Automatic,Front Wheel Drive,"63,190 miles",Car is damaged,,Left,Yes,White,R16,Halogen Headlights,Black,Textile,No,,"$6,800"
Kia,Forte,Sedan,2019,Gasoline,2.0 L,Automatic,Front Wheel Drive,"68,000 miles",Car is not damaged,,Left,Yes,Red,R16,Halogen Headlights,Black,Textile,No,"Air conditioner, cruise control","$14,400"
Toyota,Corolla,Sedan,2020,Gasoline,2.0 L,Automatic,Front Wheel Drive,"11,700 miles",Car is not damaged,,Left,Yes,White,R18,LED Headlights,Gray,Textile,No,"Air conditioner, cruise control, tinted windows","$23,000"
Kia,Forte,Sedan,2018,Gasoline,2.0 L,Automatic,Front Wheel Drive,"53,000 miles",Car is damaged,,Left,Yes,Silver,R16,LED Headlights,Black,Textile,No,,"$17,000"
Nissan,Tiida,Sedan,2008,Gasoline,1.5 L,Automatic,All Wheel Drive,"200,000 km",Car is not damaged,,Right,Yes,White,R15,Halogen Headlights,Black,Alcantara,No,,"$5,700"
VAZ (Lada),2114,Hatchback,2009,Gasoline,1.6 L,Manual,Front Wheel Drive,"350,000 km",Car is not damaged,Installed,Left,Yes,Black,R14,Хenon Headlights,Black,Textile,No,Tinted windows,"$4,000"
Volkswagen,Golf,Hatchback,2002,Gasoline,1.6 L,Manual,Front Wheel Drive,"100,000 km",Car is not damaged,Installed,Left,Yes,Black,R15,Halogen Headlights,Black,Textile,No,"Air conditioner, heated seats","$5,200"
Mitsubishi,Airtrek,SUV / Crossover,2003,Gasoline,2.0 L,Automatic,All Wheel Drive,"155,000 km",Car is not damaged,Installed,Left,Yes,Brown,R16,LED Headlights,Brown,Leather,No,"Air conditioner, cruise control, tinted windows","$6,900"
BMW,3 Series,Sedan,2002,Gasoline,2.5 L,Automatic,Rear Wheel Drive,"88,000 km",Car is not damaged,,Left,Yes,Black,R17,Хenon Headlights,Black,Leather,No,Tinted windows,"$10,000"
Chevrolet,Volt,Hatchback,2018,Hybrid,1.5 L,Automatic,Front Wheel Drive,"74,000 km",Car is not damaged,,Left,Yes,White,R17,LED Headlights,Black,Textile,No,Air conditioner,"$18,500"
VAZ (Lada),2106,Sedan,1995,Gasoline,1.6 L,Manual,Rear Wheel Drive,"156,000 km",Car is not damaged,Installed,Left,Yes,Black,R13,Halogen Headlights,Black,Textile,No,,"$3,100"
BMW,5 Series,Sedan,2004,Gasoline,2.5 L,Automatic,Rear Wheel Drive,"205,000 km",Car is not damaged,Installed,Left,Yes,Black,R18,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$8,500"
Ford,Fusion (North America),Sedan,2019,Gasoline,2.5 L,Automatic,Front Wheel Drive,"18,000 miles",Car is not damaged,,Left,Yes,Blue,R18,Хenon Headlights,Beige,Textile,No,"Air conditioner, heated seats, cruise control, tinted windows","$16,000"
Mercedes-Benz,C-Class,Wagon,1997,Gasoline,2.0 L,Manual,Rear Wheel Drive,"380,000 km",Car is not damaged,Installed,Left,Yes,Blue,R15,Halogen Headlights,Black,Other,Regular Sunroof,,"$2,100"
Honda,Accord,Sedan,2019,Gasoline,1.5 L,Automatic,Front Wheel Drive,"74,000 miles",Car is damaged,,Left,Yes,Black,R19,LED Headlights,Black,Leather,No,"Air conditioner, heated seats, ventilated seats, cruise control","$21,500"
Volkswagen,Vento,Sedan,1997,Gasoline,1.6 L,Manual,Front Wheel Drive,"444,000 km",Car is not damaged,Installed,Left,Yes,Gray,R14,LED Headlights,Gray,Textile,No,,"950,000 ֏"
Mitsubishi,Outlander Sport,SUV / Crossover,2020,Gasoline,2.4 L,Automatic,Front Wheel Drive,"17,000 km",Car is not damaged,,Left,Yes,White,R18,LED Headlights,Black,Alcantara,No,,"$22,500"
Hyundai,Elantra,Sedan,2011,Gasoline,1.8 L,Automatic,Front Wheel Drive,"135,000 km",Car is not damaged,Installed,Left,Yes,Black,R16,Хenon Headlights,Other,Other,Regular Sunroof,Ventilated seats,"$9,100"
Porsche,Cayenne,SUV / Crossover,2013,Gasoline,3.6 L,Automatic,All Wheel Drive,"54,000 km",Car is not damaged,,Left,Yes,White,R19,Хenon Headlights,Gray,Leather,Panoramic Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$33,000"
Nissan,Teana,Sedan,2006,Gasoline,2.5 L,Automatic,All Wheel Drive,"26,000 km",Car is not damaged,Installed,Left,Yes,Gray,R16,LED Headlights,Black,Textile,No,"Air conditioner, heated seats, cruise control","$6,500"
Audi,Q7,SUV / Crossover,2006,Gasoline,4.2 L,Automatic,All Wheel Drive,"344,000 km",Car is not damaged,,Left,Yes,Black,R20,LED Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$13,000"
UAZ (УАЗ),Patriot,SUV / Crossover,2010,Gasoline,2.7 L,Manual,All Wheel Drive,"180,000 km",Car is not damaged,Installed,Left,Yes,Green,R16,Хenon Headlights,Gray,Textile,No,"Air conditioner, heated seats","$9,000"
Toyota,Camry,Sedan,2013,Gasoline,3.5 L,Automatic,Front Wheel Drive,"97,000 miles",Car is not damaged,Installed,Left,Yes,Black,R18,Halogen Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$15,000"
Chevrolet,Niva,SUV / Crossover,2018,Gasoline,1.8 L,Manual,All Wheel Drive,"75,000 km",Car is not damaged,,Left,Yes,Black,R16,LED Headlights,Black,Textile,No,"Air conditioner, tinted windows","$9,300"
Jeep,Compass,SUV / Crossover,2019,Gasoline,2.4 L,Automatic,All Wheel Drive,"60,000 miles",Car is not damaged,,Left,No,Gray,R17,Хenon Headlights,Black,Leather,No,,"$16,000"
Kia,Optima,Sedan,2020,Gasoline,2.4 L,Automatic,Front Wheel Drive,"69,000 miles",Car is not damaged,,Left,Yes,White,R16,LED Headlights,Black,Textile,No,"Air conditioner, cruise control","$18,500"
Honda,Accord,Sedan,2019,Gasoline,1.5 L,Automatic,Front Wheel Drive,"34,000 miles",Car is not damaged,,Left,Yes,Black,R17,LED Headlights,Black,Other,Regular Sunroof,"Air conditioner, cruise control, tinted windows","$22,500"
VAZ (Lada),2107,Sedan,2012,Gasoline,1.7 L,Manual,Rear Wheel Drive,"80,000 km",Car is not damaged,Installed,Left,Yes,Black,R13,Halogen Headlights,Gray,Textile,No,,"$3,800"
Chevrolet,Cruze,Hatchback,2016,Gasoline,1.4 L,Automatic,Front Wheel Drive,"93,000 km",Car is not damaged,,Left,Yes,Black,R16,LED Headlights,Black,Textile,No,"Air conditioner, heated seats, tinted windows","$11,900"
Opel,Astra,Hatchback,2002,Gasoline,2.2 L,Manual,Front Wheel Drive,"220,000 km",Car is not damaged,Installed,Left,Yes,Red,R16,Хenon Headlights,Red,Leather,No,"Air conditioner, heated seats, cruise control, tinted windows","$5,500"
Hyundai,Elantra,Sedan,2011,Diesel,1.8 L,Automatic,Front Wheel Drive,"165,000 miles",Car is not damaged,Installed,Left,Yes,Cyan,R16,Halogen Headlights,Beige,Textile,No,"Air conditioner, tinted windows","$8,200"
Toyota,Camry,Sedan,2021,Gasoline,2.5 L,Automatic,All Wheel Drive,"180,000 km",Car is not damaged,,Left,Yes,Silver,R16,LED Headlights,Black,Textile,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control","$25,000"
Kia,Forte,Sedan,2018,Gasoline,2.0 L,Automatic,Front Wheel Drive,"61,000 miles",Car is not damaged,,Left,Yes,Blue,R16,Halogen Headlights,Black,Textile,No,"Air conditioner, cruise control","$15,500"
Mazda,6,Sedan,2017,Gasoline,2.5 L,Automatic,Front Wheel Drive,"41,000 miles",Car is not damaged,,Left,Yes,Silver,R19,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$16,000"
Mazda,CX-5,SUV / Crossover,2018,Gasoline,2.5 L,Automatic,All Wheel Drive,"85,000 km",Car is not damaged,,Left,Yes,Black,R18,Хenon Headlights,Black,Other,Regular Sunroof,,"$27,500"
Mercedes-Benz,Vito,Minivan,1997,Gasoline,2.3 L,Automatic,Rear Wheel Drive,"123,456 km",Car is not damaged,Installed,Left,Yes,Black,R16,LED Headlights,Gray,Textile,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$6,000"
Toyota,Camry,Sedan,2012,Gasoline,2.5 L,Automatic,Front Wheel Drive,"170,000 miles",Car is not damaged,Installed,Left,Yes,Silver,R17,LED Headlights,Black,Leather,No,"Air conditioner, cruise control, tinted windows","$12,900"
Mercedes-Benz,W124,Sedan,1992,Gasoline,3.0 L,Manual,Rear Wheel Drive,"390,000 km",Car is not damaged,Installed,Left,Yes,Black,R15,LED Headlights,Gray,Leatherette,No,,"$5,300"
Daewoo,Matiz,Hatchback,1999,Gasoline,0.8 L,Manual,Front Wheel Drive,"50,000 km",Car is not damaged,,Left,Yes,Silver,R13,Halogen Headlights,Gray,Textile,No,Air conditioner,"$3,500"
Kia,Forte,Sedan,2019,Gasoline,2.0 L,Automatic,Front Wheel Drive,"30,500 miles",Car is not damaged,,Left,Yes,Blue,R16,LED Headlights,Black,Textile,No,"Air conditioner, heated seats, cruise control, tinted windows","$16,800"
Kia,Forte,Sedan,2018,Gasoline,2.0 L,Automatic,Front Wheel Drive,"82,156 km",Car is not damaged,,Left,Yes,Silver,R16,Halogen Headlights,Gray,Textile,No,"Air conditioner, cruise control, tinted windows","$13,300"
Mercedes-Benz,C-Class,Sedan,1998,Gasoline,2.0 L,Automatic,Rear Wheel Drive,"250,000 km",Car is not damaged,Installed,Left,Yes,Black,R17,LED Headlights,Gray,Alcantara,No,"Air conditioner, cruise control, tinted windows","$7,000"
VAZ (Lada),2121 Niva,SUV / Crossover,1987,Gasoline,1.6 L,Manual,All Wheel Drive,"120,000 km",Car is not damaged,Installed,Left,Yes,White,R16,LED Headlights,Black,Other,No,,"$3,200"
Toyota,Camry,Sedan,2008,Gasoline,2.4 L,Automatic,Front Wheel Drive,"198,000 km",Car is not damaged,Installed,Left,Yes,Silver,R16,LED Headlights,Gray,Velour,No,"Air conditioner, cruise control, tinted windows","$8,200"
Ford,Transit,Van,1998,Diesel,2.5 L,Manual,Rear Wheel Drive,"220,000 km",Car is not damaged,,Left,Yes,White,R15,Halogen Headlights,Black,Leather,No,,"1,750,000 ֏"
Mercedes-Benz,Sprinter,Minibus,2016,Diesel,2.2 L,Automatic,Rear Wheel Drive,"192,000 km",Car is not damaged,,Left,Yes,Silver,R16,Halogen Headlights,Black,Textile,Regular Sunroof,"Air conditioner, tinted windows","$37,500"
Chevrolet,Cruze,Hatchback,2005,Gasoline,1.3 L,Automatic,Front Wheel Drive,"270,000 km",Car is not damaged,Installed,Right,Yes,Black,R15,Halogen Headlights,Other,Other,No,"Air conditioner, tinted windows","$4,800"
BMW,3 Series,Sedan,2012,Gasoline,2.0 L,Automatic,Rear Wheel Drive,"180,000 km",Car is not damaged,,Left,Yes,Gray,R17,Halogen Headlights,Black,Leather,Regular Sunroof,,"$14,500"
Nissan,Teana,Sedan,2006,Gasoline,2.3 L,Automatic,Front Wheel Drive,"215,000 km",Car is not damaged,Installed,Right,Yes,White,R16,LED Headlights,Brown,Alcantara,No,Air conditioner,"$6,500"
Ford,Transit,Van,2007,Diesel,2.4 L,Manual,Rear Wheel Drive,"263,000 km",Car is not damaged,,Left,Yes,White,R16,Halogen Headlights,Gray,Textile,No,Air conditioner,"$13,500"
Nissan,Teana,Sedan,2003,Gasoline,2.3 L,Automatic,Front Wheel Drive,"300,000 km",Car is not damaged,Installed,Right,Yes,Silver,R16,Хenon Headlights,Black,Alcantara,No,"Air conditioner, cruise control, tinted windows","$3,200"
Jeep,Compass,SUV / Crossover,2018,Gasoline,2.4 L,Automatic,Front Wheel Drive,"53,000 km",Car is not damaged,,Left,Yes,Red,R17,Хenon Headlights,White,Leather,Panoramic Sunroof,,"$17,900"
Mercedes-Benz,S-Class,Sedan,1999,Gasoline,5.0 L,Automatic,Rear Wheel Drive,"211,000 km",Car is not damaged,Installed,Left,Yes,Black,R18,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$7,200"
Mercedes-Benz,E-Class,Sedan,2001,Gasoline,3.2 L,Automatic,All Wheel Drive,"216,589 km",Car is not damaged,,Left,Yes,Black,R15,Halogen Headlights,Beige,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","4,000,000 ֏"
